step,route,phase,directive,reasoning
1,Scientist,Design,"Design the WRF-Chem experiment for hypothesis h3_guanzhong_bc_absorbing_ari_feedback. Define CTRL (BC absorption disabled) vs EXP (full BC absorption) configurations targeting Guanzhong Basin winter conditions. Specify required meteorological periods, domain setup, BC perturbation method, and output variables needed to quantify boundary layer suppression and PM2.5 feedback metrics.","Hypothesis is externally injected (source=INJECTED) with survey_completed=True and hypothesis_generated=True, but experiment_designed=False. Per workflow rules for injected hypotheses, ScientistAgent must now generate the experiment plan before proceeding to data preparation or execution. Current data readiness flags are appropriately False at this stage."
2,Scientist,Design,"Design the CTRL/EXP experiment configuration for hypothesis h3_guanzhong_bc_absorbing_ari_feedback. Specify: (1) BC absorption modification strategy in WRF-Chem radiation scheme, (2) required meteorological/chemical/MEGAN input specifications, (3) key output variables for PM2.5 feedback analysis (boundary layer height, temperature inversion, aerosol optical properties), and (4) simulation duration covering representative Guanzhong winter pollution episode.","Hypothesis is injected and marked generated (hypothesis_generated=True), but experiment_designed=False and current_phase=experiment_design_refine. ScientistAgent must complete experiment design before data preparation or execution can begin. Survey was bypassed per injected hypothesis protocol, so no resurvey needed despite low evidence metrics."
3,Scientist,Design,"Retry experiment design for hypothesis h3_guanzhong_bc_absorbing_ari_feedback. Focus on creating a feasible WRF-Chem experiment plan that isolates BC absorbing ARI effects on PM2.5 feedback under Guanzhong winter conditions. Address previous ReAct failure by: (1) explicitly defining CTRL/EXP configurations, (2) specifying required meteorological/chemical inputs, (3) ensuring alignment with 'ari_ozone' research direction constraints, and (4) validating WRF namelist feasibility before finalizing design.","Hypothesis is injected and validated as WRF-identifiable, but experiment design failed during ScientistAgent's ReAct loop. Progress flags confirm hypothesis exists (hypothesis_generated=True) but experiment_designed=False. The 'need_new_hypothesis' recovery flag appears misleading since wrf_identifiability=True and no rejection reason exists—failure occurred in experiment design phase, not hypothesis validity. Retrying ScientistAgent with targeted adjustments addresses the specific failure point without abandoning the core verification task."
4,Executor,Input readiness,"Phase 3B is owned by ExecutorAgentV2 for submit_remote runs. Infer the data requirements, rank source candidates, reuse any available artifacts before downloading, and build the preprocessing bundle until run_preparation_inputs_ready is true.","Experiment design is complete, but submit_remote Phase 3B data acquisition and preprocessing readiness are still missing. ExecutorAgentV2 owns the data sourcing, reuse, verification, and preprocessing bundle assembly before remote preparation."
5,Executor,Input readiness,"Phase 3B is owned by ExecutorAgentV2 for submit_remote runs. Infer the data requirements, rank source candidates, reuse any available artifacts before downloading, and build the preprocessing bundle until run_preparation_inputs_ready is true.","Experiment design is complete, but submit_remote Phase 3B data acquisition and preprocessing readiness are still missing. ExecutorAgentV2 owns the data sourcing, reuse, verification, and preprocessing bundle assembly before remote preparation."
6,Executor,Execution,Use the prepared preprocessing artifacts to advance execution until the runs complete.,"Preprocessing artifacts are ready and the execution lifecycle is still in progress. Continue preparation, submission, or monitoring."
7,Executor,Execution,Use the prepared preprocessing artifacts to advance execution until the runs complete.,"Preprocessing artifacts are ready and the execution lifecycle is still in progress. Continue preparation, submission, or monitoring."
8,Executor,Execution,Use the prepared preprocessing artifacts to advance execution until the runs complete.,"Preprocessing artifacts are ready and the execution lifecycle is still in progress. Continue preparation, submission, or monitoring."
9,Executor,Execution,Use the prepared preprocessing artifacts to advance execution until the runs complete.,"Preprocessing artifacts are ready and the execution lifecycle is still in progress. Continue preparation, submission, or monitoring."
10,Executor,Execution,Use the prepared preprocessing artifacts to advance execution until the runs complete.,"Preprocessing artifacts are ready and the execution lifecycle is still in progress. Continue preparation, submission, or monitoring."
11,Executor,Execution,Use the prepared preprocessing artifacts to advance execution until the runs complete.,"Preprocessing artifacts are ready and the execution lifecycle is still in progress. Continue preparation, submission, or monitoring."
12,Executor,Execution,Use the prepared preprocessing artifacts to advance execution until the runs complete.,"Preprocessing artifacts are ready and the execution lifecycle is still in progress. Continue preparation, submission, or monitoring."
13,Validation,Evidence build,Compute metric comparisons and artifact evidence from the completed run outputs. Do not emit a scientific supported/rejected verdict.,Execution is complete and validation evidence has not been prepared yet. Build the metric evidence payload before scientific evaluation synthesis.
14,Scientist,Evaluation,"Use validation_result, results, run_manifest, and the active hypothesis to synthesize the scientific evaluation report. Treat validation_result as evidence only, not as a final verdict.",Execution outputs have been collected and validation evidence is ready. ScientistAgentV2 must synthesize the scientific evaluation verdict from the evidence.
15,Report,Report,Write the final report from the evaluation evidence and end the workflow.,Scientific evaluation is complete and the workflow now needs a final report.
16,Validation,Evidence build,Compute metric comparisons and artifact evidence from the completed run outputs. Do not emit a scientific supported/rejected verdict.,Execution is complete and validation evidence has not been prepared yet. Build the metric evidence payload before scientific evaluation synthesis.
17,Scientist,Evaluation,"Use validation_result, results, run_manifest, and the active hypothesis to synthesize the scientific evaluation report. Treat validation_result as evidence only, not as a final verdict.",Execution outputs have been collected and validation evidence is ready. ScientistAgentV2 must synthesize the scientific evaluation verdict from the evidence.
18,Report,Report,Write the final report from the evaluation evidence and end the workflow.,Scientific evaluation is complete and the workflow now needs a final report.
